movie_name,movie_description,casts,genres,run_time,views,rating,seasons,index
McMafia,"Alex Godman, the English-raised son of Russian mafia exiles, has spent his life trying to escape the shadow of their past, building his own legitimate business and forging a life with his girlfriend Rebecca. But when a murder forces his familys past to return to threaten them, Alex is drawn into the criminal underworld and must confront his values to protect those he loves.","James Norton, David Strathairn, Juliet Rylance","Crime, Drama, Thriller ",1 Hour,684671,1.43,1,817
Ten Days in the Valley,An overworked television producer and single mother is in the middle of a fractious separation when her young daughter goes missing in the middle of the night. Both her world and her controversial police series implode.,"Kyra Sedgwick, Adewale Akinnuoye-Agbaje, Erika Christensen",Drama ,43 Minutes,306201,0.48,1,818
American Dad,"The random escapades of Stan Smith, a conservative C.I.A. Agent dealing with family life, and keeping America safe, all in the most absurd way possible.","Seth MacFarlane, Wendy Schaal, Dee Bradley Baker","Animation, Comedy ",22 Minutes,579777,3.67,3,819
Damnation,"An epic saga about the secret history of the 1930s American heartland, centering on the mythic conflict and bloody struggle between big money and the downtrodden.","Logan Marshall-Green, Killian Scott, Sarah Jones","Crime, Drama, Western ",1 Hour,501825,1.12,1,820
Ghost Wars,A remote Alaskan town that has been overrun by paranormal forces and local outcast Roman Mercer (Jogia) must overcome the towns prejudices and his own personal demons if hes to harness his repressed psychic powers and save everyone from the mass haunting thats threatening to destroy them all.,"Avan Jogia, Kim Coates, Luvia Petersen","Drama, Fantasy, Horror ",1 Hour,616737,1.62,1,821
Jean Claude Van Johnson,"Stars global martial arts and actor Jean-Claude Van Damme playing Jean-Claude Van Damme, a global martial arts and film sensation, also operating under the simple alias of Johnson as the worlds best undercover private contractor. Retired for years, a chance encounter with a lost love brings him back to the game. This time, he will be deadlier than ever. Probably.","Jean-Claude Van Damme, Kat Foster, Moises Arias",Comedy ,30 Minutes,352966,0.78,1,822
The Ranch,The son of a Colorado rancher returns home from a semi-pro football career to run the family business.,"Ashton Kutcher, Danny Masterson, Debra Winger",Comedy ,30 Minutes,375656,1.08,3,823
Wolf Creek,An anthology series which centers on different characters being targeted by crazed serial killer Mick Taylor in the Australian outback.,"John Jarratt, Lucy Fry, Dustin Clare","Drama, Horror, Thriller ",45 Minutes,491531,1.92,1,824
Counterpart,A UN employee discovers the agency he works for is hiding a gateway to a parallel dimension.,"Harry Lloyd, Nazanin Boniadi, J.K. Simmons","Drama, Sci-Fi, Thriller ",1 Hour,708073,2.35,2,825
The Grand Tour,"Follow Jeremy, Richard, and James, as they embark on an adventure across the globe. Driving new and exciting automobiles from manufacturers all over the world.","Jeremy Clarkson, James May, Richard Hammond","Comedy, Talk-Show ",1 Hour,450758,2.36,3,826
Shut Eye,"Charlie Haverford is a scammer with a small chain of fortune-telling storefronts and contracts building tricks for a family that controls the business in the greater chunk of Los Angeles. A blow to the head from a client's angry boyfriend intersects with a hypnosis session while auditioning a new clairvoyant, and suddenly, a man whose entire life has been based on fraud begins to see and feel some very real and fundamental truths. Charlies wife Linda is sick and tired of their mediocre life and wants to break away from Fonso, the single father who runs the Marks familys psychic empire, and controls the Haverfords future. Rossellini co-stars as Rita, the cunning, seductive, and sadistic matriarch of the Marks clan.","Jeffrey Donovan, KaDee Strickland, Angus Sampson","Crime, Drama ",45 Minutes,276090,1.22,1,827
Happy,An injured hitman befriends a perky blue horse.,"Christopher Meloni, Ren Colley, Alexander Jameson","Comedy, Crime, Fantasy ",1 Hour,453201,1.88,2,828
Knightfall,A look at the final days of Knights Templar during the 14th century.,"Tom Cullen, PÃ¡draic Delaney, Simon Merrells","Action, Adventure, Drama ",1 Hour,1374913,2.12,2,829
Dark,"A family saga with a supernatural twist, set in a German town, where the disappearance of two young children exposes the relationships among four families.","Crime, Drama, Mystery","Crime, Drama, Mystery ",1 Hour,664134,2.44,2,830
Godless,"Frank Griffin, an outlaw terrorizing the 1880s American West, hunts down Roy Goode, his partner turned enemy. Roy hides out at a ranch as Franks chase leads him to La Belle, New Mexico - a town mysteriously made up entirely of women.","Samuel Marty, Luke Robertson, Rio Alexander",Western ,1 Hour,526100,0.22,1,831
Runaways,"After discovering their parents are super-villains in disguise, a group of teenagers band together to run away from their homes in order to atone for their parents actions and to discover the secrets of their origins.","Virginia Gardner, Cody Mayo, Nicole Wolf","Action, Drama, Sci-Fi ",1 Hour,1333329,2.56,3,832
Future Man,"Josh Futturman, a janitor by day and a gamer by night, is recruited by mysterious visitors to travel through time to prevent the extinction of humanity.","Josh Hutcherson, Derek Wilson, Eliza Coupe","Comedy, Sci-Fi ",30 Minutes,635171,2.14,3,833
The Punisher,"After the murder of his family, Marine veteran Frank Castle became a vigilante known as ""The Punisher"" with only one goal in mind - to avenge them. With his revenge now complete, Frank's war-time past comes back to haunt him.","Jon Bernthal, Amber Rose Revah, Ebon Moss-Bachrach","Action, Adventure, Crime ",44 Minutes,1151745,2.41,2,834
Peaky Blinders,"A gangster family epic set in 1919 Birmingham, England and centered on a gang who sew razor blades in the peaks of their caps, and their fierce boss Tommy Shelby, who means to move up in the world.","Cillian Murphy, Paul Anderson, Joe Cole","Crime, Drama ",1 Hour,553724,3.55,2,835
The Girlfriend Experience,"An anthology series that explores the relationships between female escorts and their clients, which is not all about the sex.","Riley Keough, Anna Friel, Carmen Ejogo",Drama ,27 Minutes,465405,1.32,1,836
Dirk Gentlys Holistic Detective Agency,Holistic detective Dirk Gently investigates cases involving the supernatural.,"Samuel Barnett, Elijah Wood, Jade Eshete","Comedy, Sci-Fi ",1 Hour,304882,0.96,1,837
S.W.A.T,Follows a locally born and bred S.W.A.T. lieutenant who is torn between loyalty to the streets and duty to his fellow officers when hes tasked to run a highly-trained unit thats the last stop for solving crimes in Los Angeles.,"Shemar Moore, David Lim, Stephanie Sigman","Action, Adventure, Crime ",43 Minutes,3518915,3.25,3,838
Mom,A newly sober single mom tries to pull her life together in Napa Valley while dealing with her wayward mother.,"Anna Faris, Allison Janney, Mimi Kennedy","Comedy, Drama, Romance ",30 Minutes,723338,2.68,3,839
Life in Pieces,A family comedy told through the separate stories of different family members.,"Colin Hanks, Betsy Brandt, Thomas Sadoski",Comedy ,22 Minutes,411680,2.32,2,840
Strike Back,"The actions of Section 20, a secretive unit of British military intelligence. A team of special operations personnel conduct several high risk missions throughout the globe.","Philip Winchester, Sullivan Stapleton, Michelle Lukes","Action, Drama, Thriller ",45 Minutes,2517731,2.36,3,841
Travelers,"Hundreds of years from now, surviving humans discover how to send consciousness back through time, into people of the 21st century, while attempting to save humanity from a terrible future.","Nesta Cooper, Eric McCormack, MacKenzie Porter",Sci-Fi ,45 Minutes,689855,1.3,2,842
Mindhunter,An agent in the FBI's Elite Serial Crime Unit tracks down serial killers and rapists.,"Jonathan Groff, Holt McCallany, Hannah Gross","Crime, Drama, Thriller ",1 Hour,584979,2.22,2,843
Wisdom of the Crowd,"A tech innovator creates a cutting-edge crowd-sourcing hub to solve his own daughters murder, as well as revolutionizing crime solving in San Francisco.","Jeremy Piven, Natalia Tena, Blake Lee",Drama ,43 Minutes,456897,0.86,1,844
Good Behavior,"Letty Raines is a thief and con artist whose life is always one wrong turn, one bad decision, from implosion. Which is just how she likes it. Fresh out of prison, she is attempting to stay afloat. But when she overhears a hit man being hired to kill a mans wife, she sets out to derail the job, sending her on a wild collision course with the charming killer, and entangling them in a dangerous, seductive relationship.","Michelle Dockery, Juan Diego Botto, Terry Kinney","Crime, Drama, Mystery ",1 Hour,319607,1.37,1,845
Crazy Ex-Girlfriend,"A young woman abandons a choice job at a law firm and her life in New York in an attempt to find happiness in the unlikely locale of West Covina, California.","Rachel Bloom, Vincent Rodriguez III, Donna Lynne Champlin","Comedy, Musical ",42 Minutes,642423,1.77,2,846
Dynasty,Follows two of Americas wealthiest families as they feud for control over their fortune and their children.,"Sam Adegoke, Alan Dale, Elizabeth Gillies",Drama ,42 Minutes,3213928,3.52,3,847
Valor,"The boundaries between military discipline and human desire are tested on a U.S. Army base that houses an elite unit of helicopter pilots trained to perform clandestine international and domestic missions. The drama unfolds in the present as well as in flashbacks to a failed mission involving one of the first female pilots in the unit, ultimately uncovering layers of personal and government/military secrets and leading to a season-long plan to rescue a group of MIA soldiers.","Jared M. Reeder, Joey Thurmond, Zeeko Zaki",Drama ,42 Minutes,888621,1.18,1,848
Madam Secretary,A political drama which looks into the life of the Secretary of State as she tries to balance work with family.,"Tea Leoni, Tim Daly, Patina Miller",Drama ,45 Minutes,832162,2.52,3,849
Van Helsing,"Vanessa Helsing, distant relative of famous vampire hunter Abraham Van Helsing, is resurrected only to find that vampires have taken over the world.","Kelly Overton, Christopher Heyerdahl, Jonathan Scarfe","Action, Drama, Fantasy ",1 Hour,1686591,2.29,3,850
Kevin Probably Saves the World,"Kevin, a down-on-his-luck man, is tasked by God with a mission to save the world.","Jason Ritter, JoAnna Garcia Swisher, Kimberly Hebert Gregory","Comedy, Drama, Fantasy ",1 Hours,574001,0.91,1,851
Fresh Off the Boat,A Taiwanese family makes their way in America during the 1990s.,"Randall Park, Constance Wu, Hudson Yang",Comedy ,22 Minutes,575538,3.34,3,852
Blackish,"A family man struggles to gain a sense of cultural identity while raising his kids in a predominantly white, upper-middle-class neighborhood.","Anthony Anderson, Tracee Ellis Ross, Yara Shahidi",Comedy ,22 Minutes,3363233,3.19,3,853
The Mayor,A struggling hip-hop artist runs for mayor to promote his mixtape and wins the election.,"Marcel Spears, Brandon Micheal Hall, Yvette Nicole Brown",Comedy ,30 Minutes,417990,0.28,1,854
The Middle,"The daily mishaps of a married woman and her semi-dysfunctional family and their attempts to survive life in general in the town of Orson, Indiana.","Patricia Heaton, Neil Flynn, Charlie McDermott",Comedy ,22 Minutes,331001,0.86,1,855
Absentia,"After being declared dead in absentia, an FBI agent must reclaim her family, identity and innocence when she finds herself the prime suspect in a string of murders.","Stana Katic, Patrick Heusinger, Cara Theobold","Crime, Drama, Mystery ",1 Hour,629208,1.67,2,856
The Gifted,"In a world where mutated humans are treated with distrust and fear, an institute for mutants battles to achieve peaceful co-existence with humanity.","Emma Dumont, Hayley Lovitt, Garret Dillahunt","Action, Fantasy, Sci-Fi ",43 Minutes,4236705,2.99,2,857
The Brave,The complex world of our bravest military heroes who make personal sacrifices while executing the most challenging and dangerous missions behind enemy lines.,"Anne Heche, Mike Vogel, Demetrius Grosse","Action, Drama, Thriller ",43 Minutes,1352251,1.28,1,858
